sensor_id,highway,latitude,longitude,time_interval,surface_displacement_mm,pore_water_pressure_kpa,micro_vibration_hz,sensor_health,alarm_status
IOT-MEG-301,NH-6 (Sonapur),25.115,92.368,03:00 Hrs,4.45,84.2,12.2,ONLINE_100%,CRITICAL_MOVEMENT
IOT-MEG-301,NH-6 (Sonapur),25.115,92.368,04:00 Hrs,4.11,56.6,5.9,ONLINE_100%,CRITICAL_MOVEMENT
IOT-MEG-301,NH-6 (Sonapur),25.115,92.368,05:00 Hrs,0.83,86.9,2.8,ONLINE_100%,CRITICAL_MOVEMENT
IOT-MEG-301,NH-6 (Sonapur),25.115,92.368,06:00 Hrs,0.23,73.8,13.3,ONLINE_100%,NORMAL
IOT-MEG-301,NH-6 (Sonapur),25.115,92.368,07:00 Hrs,0.57,84.8,5.7,ONLINE_100%,CRITICAL_MOVEMENT
IOT-MEG-301,NH-6 (Sonapur),25.115,92.368,08:00 Hrs,3.4,51.8,5.3,ONLINE_100%,NORMAL
IOT-MEG-301,NH-6 (Sonapur),25.115,92.368,09:00 Hrs,3.63,80.5,3.2,ONLINE_100%,CRITICAL_MOVEMENT
IOT-MEG-301,NH-6 (Sonapur),25.115,92.368,10:00 Hrs,0.91,69.5,13.2,ONLINE_100%,NORMAL
IOT-MEG-301,NH-6 (Sonapur),25.115,92.368,11:00 Hrs,4.47,91.9,2.1,ONLINE_100%,CRITICAL_MOVEMENT
IOT-MEG-301,NH-6 (Sonapur),25.115,92.368,12:00 Hrs,2.45,30.3,4.8,ONLINE_100%,NORMAL
