point_id,state,latitude,longitude,elevation_m,slope_deg,aspect_deg,lithology_factor,fault_dist_km,river_dist_km,ndvi,soil_thickness_m,rain_24h_mm,rain_72h_ari_mm,soil_moisture_pct,factor_of_safety,landslide_occurred,hazard_severity
PT-0084,Arunachal Pradesh,28.0171,92.00266,2446,45.64,226,0.85,5.48,1.34,0.35,1.16,1.9,77.7,60.0,1.78,0,LOW
PT-0085,Nagaland,25.81801,93.99848,2268,29.73,21,0.89,6.65,1.47,0.47,2.05,3.2,35.3,56.8,1.68,0,LOW
PT-0086,Arunachal Pradesh,28.15886,91.35119,2261,42.71,224,0.92,3.36,1.38,0.37,3.02,74.5,201.5,84.9,0.87,1,SEVERE
PT-0087,Arunachal Pradesh,27.05909,91.36341,2082,41.33,336,0.91,3.81,0.42,0.34,2.46,19.0,142.2,77.9,1.04,0,MODERATE
PT-0088,Meghalaya,25.22405,92.8856,2376,33.33,168,0.89,5.97,1.84,0.51,2.51,51.9,136.8,73.7,1.25,0,LOW
PT-0089,Arunachal Pradesh,27.35064,92.3914,2840,37.03,98,0.77,1.87,0.26,0.5,1.22,42.6,203.4,85.1,1.76,1,SEVERE
PT-0090,Arunachal Pradesh,28.03167,91.99164,2223,40.44,92,0.89,5.19,1.8,0.36,1.96,56.4,110.6,68.8,1.28,0,LOW
PT-0091,Mizoram,24.02287,93.05056,2457,40.56,240,0.95,3.34,1.52,0.42,1.97,40.0,138.0,74.5,1.24,0,MODERATE
PT-0092,Meghalaya,25.49027,92.72151,2262,39.67,328,0.83,4.36,2.06,0.45,2.14,4.4,45.9,54.6,1.3,0,LOW
PT-0093,Meghalaya,25.50726,91.87006,1716,47.69,178,0.92,4.54,0.93,0.33,1.85,12.7,80.3,58.7,1.26,0,LOW
PT-0094,Arunachal Pradesh,27.92966,91.41512,2981,40.76,356,0.89,5.06,1.09,0.43,2.99,12.1,51.8,60.8,1.03,0,MODERATE
PT-0095,Manipur,24.79342,93.76572,2233,37.26,214,0.92,5.44,0.23,0.49,2.1,50.0,159.9,82.4,1.21,1,HIGH
PT-0096,Mizoram,23.63509,92.84777,2562,40.46,340,0.9,4.65,0.86,0.49,2.2,27.8,46.2,58.9,1.24,0,MODERATE
PT-0097,Sikkim,27.4928,89.17725,2333,41.97,34,0.85,5.3,1.42,0.44,2.62,2.3,107.4,71.8,1.03,0,MODERATE
PT-0098,Meghalaya,25.50646,92.58162,2011,44.5,93,0.89,3.36,1.73,0.37,1.65,11.1,33.0,56.6,1.41,0,LOW
PT-0099,Manipur,25.84695,94.07164,2715,37.74,97,0.85,7.95,0.2,0.46,1.6,24.7,105.7,67.7,1.53,0,LOW
PT-0100,Manipur,25.06684,93.64418,1817,35.44,265,0.84,3.22,0.99,0.44,3.19,17.4,49.3,54.1,1.17,0,MODERATE
PT-0101,Mizoram,23.4878,92.83315,2439,29.74,179,0.86,6.04,2.01,0.52,1.96,40.6,65.1,61.0,1.69,0,LOW
PT-0102,Manipur,25.09597,94.38132,1348,30.05,73,0.96,5.83,1.02,0.44,1.52,21.3,193.0,82.8,1.76,0,LOW
PT-0103,Meghalaya,25.32487,92.89859,2487,27.17,293,0.76,4.34,0.76,0.49,3.11,10.3,110.7,73.5,1.35,0,LOW
PT-0104,Nagaland,25.39413,93.70235,2553,15.28,146,0.94,18.0,0.52,0.56,1.16,62.5,242.0,98.0,3.0,0,LOW
PT-0105,Arunachal Pradesh,27.78141,92.10145,2250,38.09,153,0.89,4.61,2.05,0.45,2.75,6.5,54.7,53.4,1.19,0,MODERATE
PT-0106,Tripura,23.35154,91.91483,2173,16.8,282,0.56,11.39,0.24,0.59,2.58,26.4,109.0,69.7,2.4,0,LOW
PT-0107,Meghalaya,25.67686,92.53081,2223,25.23,176,0.76,7.62,1.26,0.55,2.69,34.9,193.2,90.8,1.38,0,LOW
PT-0108,Meghalaya,24.87495,91.95436,1960,40.92,265,0.91,7.88,0.63,0.43,2.21,18.0,121.0,71.6,1.16,0,MODERATE
PT-0109,Meghalaya,25.22017,92.45678,2491,40.99,309,0.8,9.64,0.19,0.47,1.18,39.7,98.4,63.8,1.82,0,LOW
PT-0110,Manipur,25.40173,93.45634,1847,45.22,328,0.98,4.65,1.79,0.4,1.65,3.1,90.6,64.8,1.36,0,LOW
PT-0111,Assam (Dima Hasao),24.97823,92.5824,1790,39.24,176,0.96,4.35,0.88,0.43,1.7,15.6,71.5,56.7,1.5,0,LOW
PT-0112,Mizoram,24.25446,93.147,2641,23.25,81,0.93,9.59,1.61,0.51,1.35,26.0,186.0,85.9,2.34,0,LOW
PT-0113,Nagaland,26.21428,93.99653,2114,44.11,180,0.81,3.33,1.35,0.44,2.48,0.4,33.1,48.6,1.14,0,MODERATE
PT-0114,Mizoram,23.99301,93.02663,2464,34.95,291,0.88,3.93,0.71,0.44,1.99,87.2,205.0,91.2,1.26,0,LOW
PT-0115,Meghalaya,25.6801,92.23268,1754,37.9,187,0.88,3.75,1.17,0.43,1.1,20.3,113.5,69.5,1.97,0,LOW
PT-0116,Meghalaya,24.90356,92.49568,2971,47.97,153,0.85,4.97,1.17,0.35,2.24,0.8,70.5,56.6,1.11,0,MODERATE
PT-0117,Manipur,25.36044,94.37611,1602,36.23,13,0.91,3.77,1.48,0.52,2.27,2.6,96.9,66.6,1.28,0,LOW
PT-0118,Manipur,24.83733,94.23687,2297,55.89,56,0.83,4.45,0.98,0.27,1.45,47.3,140.1,79.3,1.4,0,LOW
PT-0119,Sikkim,27.57693,88.62242,1807,17.35,244,0.89,2.94,0.46,0.67,1.75,73.9,207.9,92.2,2.49,0,LOW
PT-0120,Mizoram,23.85209,92.34072,2647,40.21,115,0.96,12.88,1.72,0.45,2.52,32.7,140.2,80.2,1.04,1,HIGH
PT-0121,Mizoram,23.46535,92.79817,2000,24.63,202,0.93,10.53,1.79,0.51,1.63,20.6,108.6,66.5,2.16,0,LOW
PT-0122,Tripura,23.57678,92.24354,2155,24.72,139,0.56,8.39,1.33,0.5,2.47,50.8,74.5,60.5,1.78,0,LOW
PT-0123,Tripura,23.44065,92.17492,1724,35.48,80,0.61,12.83,1.94,0.45,1.44,19.5,141.1,80.1,1.63,0,LOW
PT-0124,Nagaland,25.86276,93.66866,1484,37.96,19,0.98,2.98,1.95,0.38,3.02,22.9,119.6,75.7,1.0,0,MODERATE
PT-0125,Mizoram,24.17209,92.12112,2130,36.75,171,0.83,14.1,1.24,0.44,3.06,26.1,72.9,57.2,1.14,0,MODERATE
PT-0126,Meghalaya,25.38734,92.53794,2002,35.75,172,0.89,5.3,1.69,0.4,2.88,42.2,142.2,72.2,1.1,0,MODERATE
PT-0127,Nagaland,25.30174,93.55873,2401,36.47,133,0.88,3.98,0.66,0.42,2.28,15.2,89.5,62.1,1.3,0,LOW
PT-0128,Nagaland,25.63847,93.58166,1435,32.36,159,0.94,5.05,2.08,0.46,1.49,26.5,116.6,75.5,1.74,0,LOW
PT-0129,Arunachal Pradesh,27.47901,91.90908,2419,34.84,340,0.89,5.09,1.53,0.47,2.73,37.6,112.3,73.9,1.15,0,MODERATE
PT-0130,Nagaland,25.15411,94.04718,2149,29.23,76,0.83,7.32,1.03,0.54,2.58,114.6,203.1,85.2,1.28,0,LOW
PT-0131,Meghalaya,25.1259,92.30816,2198,43.81,157,0.87,4.46,1.81,0.42,2.27,21.1,46.6,60.2,1.15,0,MODERATE
PT-0132,Nagaland,26.26336,93.95649,2379,37.91,69,0.95,12.08,1.46,0.42,3.18,101.9,266.5,98.0,0.84,1,SEVERE
PT-0133,Meghalaya,25.29424,92.17732,2451,40.04,270,0.76,12.83,1.85,0.46,3.15,63.5,148.5,76.5,0.93,1,HIGH
PT-0134,Assam (Dima Hasao),24.86701,92.82539,2838,32.17,57,0.77,6.7,1.39,0.55,2.96,3.5,116.5,70.1,1.21,0,MODERATE
PT-0135,Sikkim,27.02368,88.05308,2433,33.34,28,0.81,14.58,0.59,0.54,2.27,74.0,224.0,91.6,1.19,0,MODERATE
PT-0136,Meghalaya,25.69283,92.3855,2205,30.85,285,0.92,8.49,2.01,0.51,1.94,179.3,349.7,98.0,1.35,0,LOW
PT-0137,Arunachal Pradesh,27.81557,91.73991,2552,42.53,275,0.81,6.23,0.73,0.43,2.77,30.3,205.0,90.7,0.89,1,SEVERE
PT-0138,Meghalaya,24.9761,92.06599,2184,34.53,230,0.9,3.44,1.62,0.41,1.59,32.1,191.2,83.9,1.53,0,LOW
PT-0139,Assam (Dima Hasao),25.14527,93.45337,2786,25.63,7,0.8,4.53,1.66,0.58,2.66,36.3,167.4,80.8,1.46,0,LOW
PT-0140,Assam (Dima Hasao),25.2325,93.34062,2319,28.22,183,0.82,5.11,1.95,0.51,2.77,39.3,107.1,65.6,1.45,0,LOW
PT-0141,Arunachal Pradesh,27.47672,91.92503,2533,44.76,133,0.83,3.69,1.61,0.34,1.43,42.2,97.7,67.0,1.5,0,LOW
PT-0142,Arunachal Pradesh,27.28879,92.23591,2235,54.51,251,0.81,4.8,0.84,0.24,2.2,110.1,288.5,98.0,0.94,1,SEVERE
PT-0143,Sikkim,27.73688,88.0892,2169,42.98,3,0.86,6.62,0.59,0.42,1.02,23.4,140.3,77.5,1.92,0,LOW
PT-0144,Tripura,24.11114,91.26888,1637,18.44,8,0.64,6.8,2.15,0.52,2.79,41.3,206.4,86.5,1.88,0,LOW
PT-0145,Nagaland,25.70926,93.67916,1982,34.82,181,0.85,3.76,0.88,0.44,2.24,15.2,143.1,80.0,1.24,0,MODERATE
PT-0146,Sikkim,26.8422,88.45512,2231,39.59,4,0.92,2.22,1.88,0.44,1.73,48.8,211.4,95.7,1.25,1,SEVERE
PT-0147,Assam (Dima Hasao),24.8237,93.45174,1766,41.48,23,0.94,6.88,0.69,0.41,2.45,95.0,112.6,66.8,1.1,0,MODERATE
PT-0148,Meghalaya,25.41271,92.61525,2143,33.59,83,0.84,5.29,1.88,0.5,2.19,67.3,212.7,93.7,1.2,0,MODERATE
PT-0149,Nagaland,25.68095,94.55919,2289,46.59,38,0.87,6.16,2.11,0.35,2.7,16.0,194.8,87.8,0.87,1,SEVERE
PT-0150,Arunachal Pradesh,27.64365,91.70051,2767,47.91,194,0.74,3.91,1.78,0.38,1.18,62.2,181.8,87.4,1.61,1,SEVERE
PT-0151,Arunachal Pradesh,27.41284,91.35982,2206,51.62,138,0.74,1.73,1.01,0.33,2.13,4.7,111.1,70.4,1.06,0,MODERATE
PT-0152,Arunachal Pradesh,28.01646,91.26481,2653,32.83,286,0.9,11.06,1.3,0.42,1.84,17.9,114.3,65.8,1.57,0,LOW
PT-0153,Manipur,24.99115,93.7797,1805,39.45,126,0.93,4.71,1.4,0.41,1.3,25.2,179.1,83.2,1.63,1,SEVERE
PT-0154,Arunachal Pradesh,27.50827,91.76674,1885,48.85,304,0.75,2.47,2.09,0.3,1.69,48.6,111.7,71.5,1.27,0,LOW
PT-0155,Tripura,24.48132,92.18837,1962,23.21,201,0.6,12.72,0.52,0.64,1.4,6.2,141.2,80.5,2.34,0,LOW
PT-0156,Assam (Dima Hasao),25.09615,92.7596,1419,30.13,209,0.89,4.37,0.74,0.46,1.34,23.7,112.8,70.8,2.01,0,LOW
PT-0157,Manipur,25.30124,94.52819,1863,43.33,18,0.95,4.11,1.98,0.39,2.4,73.3,196.8,86.8,0.98,1,SEVERE
PT-0158,Sikkim,27.40586,88.77404,1542,30.17,169,0.97,3.41,0.12,0.46,2.12,43.4,153.3,78.2,1.46,0,LOW
PT-0159,Manipur,25.21568,94.23547,1943,36.43,12,0.89,3.88,2.03,0.38,2.83,20.7,92.3,68.1,1.12,0,MODERATE
PT-0160,Tripura,23.73796,91.36715,1331,24.56,34,0.59,10.15,0.34,0.6,2.43,12.4,189.7,84.2,1.56,0,LOW
PT-0161,Meghalaya,25.17229,92.15719,2233,28.53,207,0.86,3.72,1.48,0.5,2.62,25.2,111.1,64.5,1.48,0,LOW
PT-0162,Assam (Dima Hasao),24.81694,93.31279,1907,35.97,52,0.92,5.92,0.87,0.4,1.25,27.0,201.4,87.4,1.74,0,LOW
PT-0163,Manipur,25.39357,94.12441,2682,29.63,316,0.82,5.8,1.78,0.57,2.3,19.1,73.5,57.3,1.58,0,LOW
PT-0164,Arunachal Pradesh,27.81212,91.86299,2433,40.44,196,0.8,3.17,1.23,0.48,3.05,9.1,71.8,57.7,1.05,0,MODERATE
PT-0165,Tripura,24.06329,92.28863,1589,34.24,99,0.69,14.3,1.16,0.46,2.51,91.6,187.2,82.0,1.16,0,MODERATE
PT-0166,Sikkim,27.68506,88.26464,2320,47.24,147,0.81,3.53,1.66,0.4,2.21,6.1,149.0,81.0,1.02,1,HIGH
PT-0167,Arunachal Pradesh,27.63045,92.15814,1963,44.51,111,0.92,1.77,1.84,0.42,1.65,25.2,97.7,69.7,1.35,0,LOW
PT-0168,Tripura,24.35835,91.39086,1487,27.95,301,0.67,10.93,1.38,0.51,2.36,41.6,189.5,87.4,1.38,0,LOW
PT-0169,Mizoram,23.83623,92.31205,2161,46.19,293,0.82,7.68,2.17,0.39,1.21,40.4,207.0,95.5,1.56,1,SEVERE
PT-0170,Meghalaya,25.35171,91.91923,2305,40.01,126,0.88,6.02,1.13,0.43,1.59,30.1,149.6,81.7,1.4,1,HIGH
PT-0171,Nagaland,25.56342,94.28976,1490,33.77,232,0.98,3.49,0.11,0.51,2.61,25.6,150.2,76.6,1.19,0,MODERATE
PT-0172,Nagaland,26.03481,93.86726,2035,52.72,253,0.85,6.91,0.81,0.32,2.25,21.1,148.7,73.2,1.01,0,MODERATE
PT-0173,Nagaland,25.83142,94.39404,2247,56.18,80,0.89,2.5,2.11,0.23,2.51,52.5,93.7,69.9,0.94,1,HIGH
PT-0174,Mizoram,23.23201,92.54252,2456,49.63,332,0.8,4.06,0.74,0.37,1.52,36.7,51.9,56.2,1.43,0,LOW
PT-0175,Meghalaya,25.22242,92.38333,2075,35.1,175,0.89,14.29,0.99,0.4,1.16,65.6,97.5,64.6,2.03,0,LOW
PT-0176,Mizoram,23.28456,93.03815,2012,40.08,346,0.8,4.69,0.12,0.44,1.97,33.3,73.3,60.2,1.33,0,LOW
PT-0177,Tripura,24.35196,91.35403,2055,36.12,301,0.68,7.08,1.0,0.5,1.55,16.2,130.4,75.9,1.56,0,LOW
PT-0178,Mizoram,24.05476,92.93857,1781,46.34,154,0.81,5.13,0.5,0.35,2.42,40.7,95.2,64.8,1.04,0,MODERATE
PT-0179,Assam (Dima Hasao),25.1695,93.12272,1854,14.64,184,0.95,4.35,1.91,0.64,1.8,39.3,211.8,94.3,2.84,0,LOW
PT-0180,Sikkim,27.43484,88.01655,3043,45.62,203,0.88,4.48,1.15,0.36,2.54,38.5,155.1,76.9,0.97,1,HIGH
PT-0181,Mizoram,23.21483,93.21511,2167,44.3,167,0.85,5.31,1.85,0.41,1.15,37.8,192.5,82.9,1.7,1,SEVERE
PT-0182,Nagaland,26.18955,93.52918,2088,37.08,341,0.95,5.87,0.35,0.47,2.54,152.9,254.2,98.0,0.98,1,SEVERE
PT-0183,Mizoram,23.32036,92.26232,1928,41.15,60,0.92,2.87,1.79,0.37,1.14,30.9,58.6,57.4,1.9,0,LOW
